genes	avg_log2FC	p_val	adj.P.Val	pct.1	pct.2	tested_cluster	control_cluster	min.pct
LYZ	4.38380545916525	3.41928039829776e-170	5.8059381163096e-166	0.982	0.032	0	All	0.75
CST3	3.97586934636379	1.34264751677011e-169	2.27981548347564e-165	0.996	0.045	0	All	0.75
FCN1	3.36833372785252	1.29593027895674e-166	2.20048961366855e-162	0.942	0.008	0	All	0.75
S100A9	5.93483486941747	1.06675004669649e-164	1.81134157929063e-160	0.986	0.064	0	All	0.75
VCAN	3.43846944294075	1.04371629925156e-160	1.77223027612915e-156	0.935	0.024	0	All	0.75
S100A8	6.69238787250145	3.05598208046012e-158	5.18905757262129e-154	0.964	0.067	0	All	0.75
MNDA	2.73876302641629	1.77620004411582e-152	3.01598767490866e-148	0.878	0.005	0	All	0.75
TYROBP	3.10033741691499	2.77510653892521e-146	4.71213090309501e-142	0.986	0.101	0	All	0.75
SERPINA1	2.15126604998601	2.63738185532392e-142	4.47827439034002e-138	0.827	0.002	0	All	0.75
SPI1	2.41838603566117	2.83604121664941e-142	4.81559798587069e-138	0.896	0.054	0	All	0.75
TYMP	2.52013126834378	4.98186799929247e-142	8.45921186279861e-138	0.953	0.129	0	All	0.75
S100A12	3.04049610250816	7.06441574219574e-141	1.19953779302484e-136	0.824	0.003	0	All	0.75
CSF3R	2.03296739122349	3.68552315046081e-137	6.25801830948246e-133	0.813	0.005	0	All	0.75
CSTA	1.69394483550444	3.32611927361762e-130	5.64775052660271e-126	0.777	0.003	0	All	0.75
TNFAIP2	1.96507840198374	1.1936134990768e-129	2.02675572143241e-125	0.781	0.007	0	All	0.75
CD36	1.84340068478144	2.80912425445048e-129	4.76989298405692e-125	0.777	0.007	0	All	0.75
LST1	2.19527059490742	2.10515055273512e-128	3.57454563854424e-124	0.867	0.081	0	All	0.75
CEBPD	2.39215138350653	3.23073953907393e-128	5.48579573734753e-124	0.921	0.097	0	All	0.75
LGALS1	2.55368733702803	2.50158819212559e-127	4.24769675022925e-123	0.968	0.203	0	All	0.75
