tested_clust	nb_unique_seq_tested_clust	tested_clust_list_sequences	ref_clust	nb_unique_seq_ref_clust	ref_clust_list_sequences	nb_overlap	overlap_list_sequences
5	71	clone.6;clone.7;clone.8;clone.2;clone.2;clone.9;clone.1;clone.10;clone.11;clone.2;clone.12;clone.10;clone.13;clone.14;clone.15;clone.10;clone.1;clone.4;clone.1;clone.17;clone.10;clone.14;clone.18;clone.10;clone.19;clone.11;clone.18;clone.20;clone.21;clone.9;clone.22;clone.18;clone.10;clone.5;clone.10;clone.23;clone.24;clone.20;clone.25;clone.10;clone.11;clone.10;clone.19;clone.18;clone.24;clone.9;clone.10;clone.4;clone.2;clone.9;clone.10;clone.4;clone.10;clone.9;clone.2;clone.19;clone.12;clone.5;clone.4;clone.10;clone.2;clone.16;clone.11;clone.15;clone.10;clone.16;clone.8;clone.26;clone.27;clone.1;clone.9	9	2	clone.16;clone.10	2	clone.10;clone.16
9	2	clone.16;clone.10	5	71	clone.6;clone.7;clone.8;clone.2;clone.2;clone.9;clone.1;clone.10;clone.11;clone.2;clone.12;clone.10;clone.13;clone.14;clone.15;clone.10;clone.1;clone.4;clone.1;clone.17;clone.10;clone.14;clone.18;clone.10;clone.19;clone.11;clone.18;clone.20;clone.21;clone.9;clone.22;clone.18;clone.10;clone.5;clone.10;clone.23;clone.24;clone.20;clone.25;clone.10;clone.11;clone.10;clone.19;clone.18;clone.24;clone.9;clone.10;clone.4;clone.2;clone.9;clone.10;clone.4;clone.10;clone.9;clone.2;clone.19;clone.12;clone.5;clone.4;clone.10;clone.2;clone.16;clone.11;clone.15;clone.10;clone.16;clone.8;clone.26;clone.27;clone.1;clone.9	2	clone.16;clone.10
